,team1,team2,games
261,Arkansas,Texas Tech,37
262,Arkansas,UCF,1
263,Arkansas,UCLA,2
264,Arkansas,USC,5
265,Arkansas,Utah,0
266,Arkansas,Vanderbilt,10
267,Arkansas,Virginia,0
268,Arkansas,Virginia Tech,1
269,Arkansas,Wake Forest,0
270,Arkansas,Washington,0
271,Arkansas,Washington State,0
272,Arkansas,West Virginia,0
273,Arkansas,Wisconsin,2
274,Arkansas,Notre Dame,0
275,Arkansas,Connecticut,0
276,Arkansas,SMU,73
277,Arkansas,Tulane,4
278,Auburn,Baylor,4
279,Auburn,Boston College,3
280,Auburn,BYU,0
281,Auburn,California,1
282,Auburn,Cincinnati,2
283,Auburn,Clemson,50
284,Auburn,Colorado,1
285,Auburn,Duke,5
286,Auburn,Florida,85
287,Auburn,Florida State,19
288,Auburn,Georgia,120
289,Auburn,Georgia Tech,86
290,Auburn,Houston,7
291,Auburn,Illinois,0
292,Auburn,Indiana,1
293,Auburn,Iowa,0
294,Auburn,Iowa State,0
295,Auburn,Kansas,2
296,Auburn,Kansas State,4
297,Auburn,Kentucky,34
298,Auburn,Louisville,2
299,Auburn,LSU,57
300,Auburn,Maryland,4
301,Auburn,Miami,11
302,Auburn,Michigan,2
303,Auburn,Michigan State,1
304,Auburn,Minnesota,1
305,Auburn,Mississippi State,97
306,Auburn,Missouri,4
307,Auburn,NC State,2
308,Auburn,Nebraska,4
309,Auburn,North Carolina,3
310,Auburn,Northwestern,2
311,Auburn,Ohio State,2
312,Auburn,Oklahoma,2
313,Auburn,Oklahoma State,0
314,Auburn,Ole Miss,48
315,Auburn,Oregon,2
316,Auburn,Oregon State,1
317,Auburn,Penn State,4
318,Auburn,Pittsburgh,0
319,Auburn,Purdue,1
320,Auburn,Rutgers,1
321,Auburn,South Carolina,14
322,Auburn,Stanford,0
323,Auburn,Syracuse,3
324,Auburn,TCU,3
325,Auburn,Tennessee,53
326,Auburn,Texas,8
327,Auburn,Texas A&M,14
328,Auburn,Texas Tech,1
329,Auburn,UCF,4
330,Auburn,UCLA,0
331,Auburn,USC,3
332,Auburn,Utah,0
333,Auburn,Vanderbilt,40
334,Auburn,Virginia,3
335,Auburn,Virginia Tech,5
336,Auburn,Wake Forest,8
337,Auburn,Washington,1
338,Auburn,Washington State,2
339,Auburn,West Virginia,2
340,Auburn,Wisconsin,4
341,Auburn,Notre Dame,0
342,Auburn,Connecticut,0
343,Auburn,SMU,3
344,Auburn,Tulane,38
345,Baylor,Boston College,3
346,Baylor,BYU,4
347,Baylor,California,3
348,Baylor,Cincinnati,1
349,Baylor,Clemson,1
350,Baylor,Colorado,16
351,Baylor,Duke,3
352,Baylor,Florida,1
353,Baylor,Florida State,3
354,Baylor,Georgia,5
355,Baylor,Georgia Tech,4
356,Baylor,Houston,29
357,Baylor,Illinois,2
358,Baylor,Indiana,3
359,Baylor,Iowa,0
360,Baylor,Iowa State,22
361,Baylor,Kansas,22
362,Baylor,Kansas State,21
363,Baylor,Kentucky,4
364,Baylor,Louisville,1
365,Baylor,LSU,11
366,Baylor,Maryland,2
367,Baylor,Miami,9
368,Baylor,Michigan,2
369,Baylor,Michigan State,2
370,Baylor,Minnesota,1
371,Baylor,Mississippi State,4
372,Baylor,Missouri,14
373,Baylor,NC State,2
374,Baylor,Nebraska,12
375,Baylor,North Carolina,1
376,Baylor,Northwestern,0
377,Baylor,Ohio State,2
378,Baylor,Oklahoma,32
379,Baylor,Oklahoma State,42
380,Baylor,Ole Miss,2
381,Baylor,Oregon,0
382,Baylor,Oregon State,4
383,Baylor,Penn State,1
384,Baylor,Pittsburgh,4
385,Baylor,Purdue,1
386,Baylor,Rutgers,0
387,Baylor,South Carolina,3
388,Baylor,Stanford,0
389,Baylor,Syracuse,2
390,Baylor,TCU,113
391,Baylor,Tennessee,1
392,Baylor,Texas,112
393,Baylor,Texas A&M,102
394,Baylor,Texas Tech,82
395,Baylor,UCF,2
396,Baylor,UCLA,1
397,Baylor,USC,5
398,Baylor,Utah,1
399,Baylor,Vanderbilt,3
400,Baylor,Virginia,0
401,Baylor,Virginia Tech,0
402,Baylor,Wake Forest,6
403,Baylor,Washington,5
404,Baylor,Washington State,6
405,Baylor,West Virginia,12
406,Baylor,Wisconsin,0
407,Baylor,Notre Dame,2
408,Baylor,Connecticut,2
409,Baylor,SMU,82
410,Baylor,Tulane,6
411,Boston College,BYU,3
412,Boston College,California,1
413,Boston College,Cincinnati,8
414,Boston College,Clemson,32
415,Boston College,Colorado,1
416,Boston College,Duke,9
417,Boston College,Florida,2
418,Boston College,Florida State,21
419,Boston College,Georgia,4
420,Boston College,Georgia Tech,12
421,Boston College,Houston,3
422,Boston College,Illinois,0
423,Boston College,Indiana,1
424,Boston College,Iowa,1
425,Boston College,Iowa State,1
426,Boston College,Kansas,1
427,Boston College,Kansas State,4
428,Boston College,Kentucky,1
429,Boston College,Louisville,16
430,Boston College,LSU,2
431,Boston College,Maryland,12
432,Boston College,Miami,31
433,Boston College,Michigan,4
434,Boston College,Michigan State,6
435,Boston College,Minnesota,0
436,Boston College,Mississippi State,0
437,Boston College,Missouri,1
438,Boston College,NC State,19
439,Boston College,Nebraska,0
440,Boston College,North Carolina,8
441,Boston College,Northwestern,5
442,Boston College,Ohio State,3
443,Boston College,Oklahoma,2
444,Boston College,Oklahoma State,0
445,Boston College,Ole Miss,4
446,Boston College,Oregon,0
447,Boston College,Oregon State,0
448,Boston College,Penn State,24
449,Boston College,Pittsburgh,33
450,Boston College,Purdue,1
451,Boston College,Rutgers,28
452,Boston College,South Carolina,0
453,Boston College,Stanford,4
454,Boston College,Syracuse,57
455,Boston College,TCU,2
456,Boston College,Tennessee,10
457,Boston College,Texas,3
458,Boston College,Texas A&M,4
459,Boston College,Texas Tech,3
460,Boston College,UCF,2
461,Boston College,UCLA,0
462,Boston College,USC,5
463,Boston College,Utah,0
464,Boston College,Vanderbilt,3
465,Boston College,Virginia,8
466,Boston College,Virginia Tech,32
467,Boston College,Wake Forest,29
468,Boston College,Washington,0
469,Boston College,Washington State,0
470,Boston College,West Virginia,33
471,Boston College,Wisconsin,0
472,Boston College,Notre Dame,27
473,Boston College,Connecticut,8
474,Boston College,SMU,2
475,Boston College,Tulane,14
476,BYU,California,5
477,BYU,Cincinnati,3
478,BYU,Clemson,0
479,BYU,Colorado,12
480,BYU,Duke,0
481,BYU,Florida,0
482,BYU,Florida State,4
483,BYU,Georgia,1
484,BYU,Georgia Tech,4
485,BYU,Houston,3
486,BYU,Illinois,0
487,BYU,Indiana,1
488,BYU,Iowa,1
489,BYU,Iowa State,5
490,BYU,Kansas,2
491,BYU,Kansas State,8
492,BYU,Kentucky,0
493,BYU,Louisville,1
494,BYU,LSU,1
495,BYU,Maryland,0
496,BYU,Miami,2
497,BYU,Michigan,2
498,BYU,Michigan State,1
499,BYU,Minnesota,0
500,BYU,Mississippi State,4
501,BYU,Missouri,2
502,BYU,NC State,0
503,BYU,Nebraska,1
504,BYU,North Carolina,0
505,BYU,Northwestern,0
506,BYU,Ohio State,3
507,BYU,Oklahoma,3
508,BYU,Oklahoma State,3
509,BYU,Ole Miss,1
510,BYU,Oregon,7
511,BYU,Oregon State,11
512,BYU,Penn State,3
513,BYU,Pittsburgh,2
514,BYU,Purdue,0
515,BYU,Rutgers,0
516,BYU,South Carolina,0
517,BYU,Stanford,3
518,BYU,Syracuse,2
519,BYU,TCU,12
520,BYU,Tennessee,1
521,BYU,Texas,6
522,BYU,Texas A&M,3
523,BYU,Texas Tech,2
524,BYU,UCF,3
525,BYU,UCLA,12
526,BYU,USC,4
527,BYU,Utah,95
528,BYU,Vanderbilt,0
529,BYU,Virginia,6
530,BYU,Virginia Tech,0
531,BYU,Wake Forest,0
532,BYU,Washington,11
533,BYU,Washington State,5
534,BYU,West Virginia,2
535,BYU,Wisconsin,4
536,BYU,Notre Dame,9
537,BYU,Connecticut,2
538,BYU,SMU,4
539,BYU,Tulane,3
540,California,Cincinnati,0
541,California,Clemson,1
542,California,Colorado,12
543,California,Duke,2
544,California,Florida,2
545,California,Florida State,0
546,California,Georgia,2
547,California,Georgia Tech,7
548,California,Houston,2
549,California,Illinois,11
550,California,Indiana,2
551,California,Iowa,4
552,California,Iowa State,1
553,California,Kansas,5
554,California,Kansas State,1
555,California,Kentucky,0
556,California,Louisville,0
557,California,LSU,0
558,California,Maryland,2
559,California,Miami,4
560,California,Michigan,8
561,California,Michigan State,4
562,California,Minnesota,6
563,California,Mississippi State,0
564,California,Missouri,7
565,California,NC State,0
566,California,Nebraska,3
567,California,North Carolina,2
568,California,Northwestern,3
569,California,Ohio State,8
570,California,Oklahoma,4
571,California,Oklahoma State,0
572,California,Ole Miss,2
573,California,Oregon,82
574,California,Oregon State,75
575,California,Penn State,4
576,California,Pittsburgh,5
577,California,Purdue,2
578,California,Rutgers,2
579,California,South Carolina,0
580,California,Stanford,103
581,California,Syracuse,2
582,California,TCU,2
583,California,Tennessee,4
584,California,Texas,7
585,California,Texas A&M,3
586,California,Texas Tech,2
587,California,UCF,0
588,California,UCLA,94
589,California,USC,108
590,California,Utah,13
591,California,Vanderbilt,0
592,California,Virginia,0
593,California,Virginia Tech,1
594,California,Wake Forest,0
595,California,Washington,99
596,California,Washington State,84
597,California,West Virginia,3
598,California,Wisconsin,6
599,California,Notre Dame,5
600,California,Connecticut,0
601,California,SMU,1
602,California,Tulane,1
603,Cincinnati,Clemson,0
604,Cincinnati,Colorado,1
605,Cincinnati,Duke,1
606,Cincinnati,Florida,2
607,Cincinnati,Florida State,6
608,Cincinnati,Georgia,3
609,Cincinnati,Georgia Tech,0
610,Cincinnati,Houston,29
611,Cincinnati,Illinois,2
612,Cincinnati,Indiana,13
613,Cincinnati,Iowa,1
614,Cincinnati,Iowa State,1
615,Cincinnati,Kansas,3
616,Cincinnati,Kansas State,6
617,Cincinnati,Kentucky,24
618,Cincinnati,Louisville,46
619,Cincinnati,LSU,0
620,Cincinnati,Maryland,2
621,Cincinnati,Miami,13
622,Cincinnati,Michigan,1
623,Cincinnati,Michigan State,2
624,Cincinnati,Minnesota,0
625,Cincinnati,Mississippi State,2
626,Cincinnati,Missouri,0
627,Cincinnati,NC State,2
628,Cincinnati,Nebraska,1
629,Cincinnati,North Carolina,3
630,Cincinnati,Northwestern,2
631,Cincinnati,Ohio State,8
632,Cincinnati,Oklahoma,3
633,Cincinnati,Oklahoma State,4
634,Cincinnati,Ole Miss,0
635,Cincinnati,Oregon,0
636,Cincinnati,Oregon State,2
637,Cincinnati,Penn State,9
638,Cincinnati,Pittsburgh,13
639,Cincinnati,Purdue,3
640,Cincinnati,Rutgers,19
641,Cincinnati,South Carolina,2
642,Cincinnati,Stanford,0
643,Cincinnati,Syracuse,13
644,Cincinnati,TCU,3
645,Cincinnati,Tennessee,6
646,Cincinnati,Texas,0
647,Cincinnati,Texas A&M,1
648,Cincinnati,Texas Tech,1
649,Cincinnati,UCF,9
650,Cincinnati,UCLA,2
651,Cincinnati,USC,0
652,Cincinnati,Utah,0
653,Cincinnati,Vanderbilt,6
654,Cincinnati,Virginia,0
655,Cincinnati,Virginia Tech,12
656,Cincinnati,Wake Forest,0
657,Cincinnati,Washington,1
658,Cincinnati,Washington State,0
659,Cincinnati,West Virginia,21
660,Cincinnati,Wisconsin,4
661,Cincinnati,Notre Dame,2
662,Cincinnati,Connecticut,16
663,Cincinnati,SMU,7
664,Cincinnati,Tulane,19
665,Clemson,Colorado,2
